# w_1 w_2 w_3 mu_1 mu_2 mu_3 sigma_1 sigma_2 sigma_3 logL logPrior
2.225047822683655363e-01 9.189632638017131150e-02 6.860195235551473925e-01 -1.580261955141580854e-01 1.035040367634506991e-01 3.601495247735334360e+00 1.248434457989011204e+00 1.802011796389000553e+00 1.003764876847899945e+00 -3.888769749762705942e+03 0.000000000000000000e+00
1.363174523847405228e-01 3.863373403386895499e-01 4.783255606999082254e-01 -8.159401972227494637e-01 1.719049095368455848e+00 3.626408338085109762e+00 1.209612612730363690e+00 1.915135573383881962e+00 8.250601560851550387e-01 -3.888751666979171205e+03 0.000000000000000000e+00
2.013356831758763565e-01 3.232260545227009230e-01 4.756848003683758486e-01 -9.300912734749006150e-01 2.727018915403764066e+00 3.636967965834300376e+00 1.077305697256594641e+00 1.704824828007181381e+00 8.487015094727233810e-01 -3.888748178055549033e+03 0.000000000000000000e+00
2.614083289482622696e-01 8.853416914090270207e-02 6.501284438649385100e-01 -6.691435508928910147e-01 1.788428315366581201e+00 3.635905336644233099e+00 1.381632675117206555e+00 1.125092880354865432e+00 9.960176156614853893e-01 -3.888714775988490601e+03 0.000000000000000000e+00
3.490699524241913654e-01 6.308123141798219757e-01 2.072742786356245037e-02 1.119499673518328242e-01 3.555278354508855543e+00 4.916179828692348153e+00 1.681854151834141664e+00 9.531083722894622134e-01 5.543606766569626476e-01 -3.888690914051136133e+03 0.000000000000000000e+00
3.022705289382743993e-02 2.760367966342180956e-01 6.940472171279352676e-01 -1.638092639507851889e+00 -3.120435114644664609e-01 3.520316603788274712e+00 5.214649220669668184e-01 1.200576603350355098e+00 1.020574934894162400e+00 -3.888680745460405433e+03 0.000000000000000000e+00
2.621869022494788815e-01 2.825446472753468385e-01 4.560839673303858088e-01 -4.042023092673667772e-01 3.054360455077164804e+00 3.607606280189696868e+00 1.306784186612209409e+00 1.063175281873571132e+00 9.294913411320050445e-01 -3.888669905284476954e+03 0.000000000000000000e+00
2.341571871242154046e-02 3.106995554508692470e-01 6.663396140602779738e-01 -1.160721271555342771e+00 2.400575906249429181e-01 3.561143669520793864e+00 7.589847800324518445e-01 1.576566541404740285e+00 1.032696801834482203e+00 -3.888605291054683221e+03 0.000000000000000000e+00
1.091223663666628374e-01 2.694221247639138062e-01 6.223202226347166466e-01 -1.423147782396110284e+00 1.133464470960880988e+00 3.550784936831087535e+00 8.630768610494288229e-01 1.470381127013667744e+00 1.002689851723744585e+00 -3.888592624941348276e+03 0.000000000000000000e+00
1.519553714478477091e-01 1.866787647943514705e-01 6.605592486665481378e-01 -5.182343769202101269e-01 2.251629092589247372e-01 3.607388344972216832e+00 1.351715030287711672e+00 1.685054878398864586e+00 1.009981812590536432e+00 -3.888578435862276820e+03 0.000000000000000000e+00
1.548028215898631932e-01 4.761036538908792748e-01 3.686663251773020233e-01 -1.158550969111926010e+00 2.558464515388581884e+00 3.748604406075197737e+00 1.029573090728070905e+00 1.611273788532961104e+00 7.522850883992993065e-01 -3.888578046585187622e+03 0.000000000000000000e+00
2.510707461356632142e-01 9.079721582216553066e-02 6.586098576700523122e-01 -6.936899112163733561e-01 1.171882436487383661e+00 3.642831394354818286e+00 1.279443188126214048e+00 1.287579081132029346e+00 1.018196589104024996e+00 -3.888559986328080413e+03 0.000000000000000000e+00
2.815996011802086030e-01 2.245399581990768778e-01 4.946099235413688455e-01 -6.169070347161120793e-01 3.052886580156949137e+00 3.614499459470184917e+00 1.296575061860621547e+00 1.473873282199358314e+00 9.620316710159200202e-01 -3.888547530220489534e+03 0.000000000000000000e+00
2.283038461171437924e-02 3.372410468119030336e-01 6.397329248354098885e-01 -1.511794008520847443e+00 -1.480370956205017963e-01 3.582617401436571924e+00 5.064421738527208339e-01 1.486776089132592293e+00 9.713249114377923155e-01 -3.888514763252941066e+03 0.000000000000000000e+00
2.788754419696490294e-01 2.937238884267982519e-01 4.281916903784642181e-01 -4.143636936128675119e-01 3.375138640840282367e+00 3.578763958502739762e+00 1.381803408407941136e+00 9.992438759968574891e-01 1.110789288635233962e+00 -3.888471009024971863e+03 0.000000000000000000e+00
1.819917669728306486e-01 2.844503078811759789e-01 5.325962745804212473e-01 -8.096869797684176362e-01 1.800857228001708998e+00 3.768987856112139045e+00 1.324164438134058264e+00 1.691985147542958146e+00 8.432986575379094463e-01 -3.888461659087427506e+03 0.000000000000000000e+00
3.063911986963896439e-01 3.601037079998193335e-01 3.338362170485036917e-01 -4.062322721542849790e-01 3.507070794351734744e+00 3.531599182381792268e+00 1.219378017182359608e+00 1.052520967092897219e+00 1.048737441561914396e+00 -3.888450544036814790e+03 0.000000000000000000e+00
2.739372923717970365e-01 1.123258136066314916e-01 6.146140154147468060e-01 -5.481110922593558366e-01 1.847336943230385442e+00 3.548729718601728589e+00 1.149354665904166461e+00 1.268654857479703191e+00 9.220891602790632913e-01 -3.888434531505774885e+03 0.000000000000000000e+00
2.351129412020276296e-02 3.381826637341263098e-01 6.380770190904376804e-01 -6.138226036746192715e-01 2.275579850814778426e-01 3.604903698841201098e+00 1.331755891987635110e+00 1.605617781313944725e+00 9.818871507399627996e-01 -3.888427315980971343e+03 0.000000000000000000e+00
2.921652184520444617e-01 7.670089051676348690e-03 6.993216043892368505e-01 -4.604913484343954311e-01 2.927710414986383292e+00 3.478403115642040966e+00 1.355574757370022754e+00 1.632606089399736504e+00 1.019808999980650999e+00 -3.888409792490233485e+03 0.000000000000000000e+00
2.077120423824097006e-01 1.087681810603371158e-01 6.841783033330921526e-01 -6.430441424769464120e-01 -1.097777124948284277e-01 3.494592033726481528e+00 1.353268515376969905e+00 1.449249758069814931e+00 1.032423410725942903e+00 -3.888403907320222970e+03 0.000000000000000000e+00
1.331514801454261321e-01 2.671083121722089282e-01 5.999741407318222031e-01 -1.257041708895319410e+00 1.484405407008587030e+00 3.632069398588453790e+00 1.136810944166436466e+00 1.800011752092691930e+00 9.638258552873538720e-01 -3.888390639085439943e+03 0.000000000000000000e+00
1.368606379699614448e-02 3.171898701277277577e-01 6.690563939987780318e-01 -4.917175794816649459e-01 -2.622296135189441380e-01 3.479932423260674312e+00 9.842052062866811779e-01 1.384660505122618179e+00 1.031423829552083671e+00 -3.888386416508560160e+03 0.000000000000000000e+00
2.681937890681118097e-01 2.035953455661801415e-01 5.277514256636619550e-01 -3.079888816911778848e-01 2.558462234658833268e+00 3.875612396719602781e+00 1.227720218362276849e+00 8.777668643729796827e-01 8.419304561807955389e-01 -3.888377282108406689e+03 0.000000000000000000e+00
2.547452520993031544e-01 2.711883545241355886e-02 7.184993195535929189e-01 -4.877980318030951112e-01 8.621687416409899996e-01 3.560917499175763723e+00 1.353520770752508540e+00 8.647513318344722810e-01 9.675077629559741821e-01 -3.888321613026454997e+03 0.000000000000000000e+00
6.481398937566357210e-02 2.650088241599158900e-01 6.708180114410147166e-01 -6.264352698857127422e-01 -6.451336027419292407e-02 3.550793407511410038e+00 1.680065826687264785e+00 1.478078949273188947e+00 9.308441273892650303e-01 -3.888301136797002528e+03 0.000000000000000000e+00
3.243804862510776214e-03 3.007481103370641673e-01 6.957239499481630007e-01 -9.709852419042463989e-01 -2.917961935266828455e-01 3.489693983958340073e+00 4.783275749469996896e+00 1.279014130810648409e+00 9.948966519979139944e-01 -3.888288481941953705e+03 0.000000000000000000e+00
3.506033682692804021e-01 5.819890258795026514e-03 6.428809724235479139e-01 -1.917460334226306073e-01 1.583692015224200667e+00 3.597685856272462512e+00 1.536757785037843105e+00 3.420413909723947210e-01 9.575810495675819434e-01 -3.888287344101559029e+03 0.000000000000000000e+00
3.648881623038821020e-01 1.265142965359045309e-02 6.225303806163323683e-01 7.070498982704484514e-02 2.513094690842004209e+00 3.669164873058402776e+00 1.575214770617595184e+00 1.779708456688755991e+00 9.517160709151354370e-01 -3.888266223749538767e+03 0.000000000000000000e+00
3.293538269449500788e-01 5.282963334526306898e-02 6.172795558333380450e-01 -8.159006851574879260e-02 3.490569534273556762e+00 3.548170030698742039e+00 1.477696009368446362e+00 1.139422597448123797e+00 9.109025341305027057e-01 -3.888263443463710246e+03 0.000000000000000000e+00
1.867264369912055855e-01 4.525360515599051170e-01 3.616613516946861617e-01 -9.891329317963154510e-01 2.657335389406320303e+00 3.733643781865199074e+00 1.201824717854546254e+00 1.621437445417148737e+00 8.067519221673397078e-01 -3.888257173670586781e+03 0.000000000000000000e+00
2.933607836890378406e-01 4.233769870356690612e-02 6.642317081048273453e-01 -7.098746056859761566e-02 1.948818658604758225e+00 3.621471098088505869e+00 1.529960242753790833e+00 1.476372122623785588e+00 9.742486541416491841e-01 -3.888250881476303221e+03 0.000000000000000000e+00
3.692515098167973298e-01 4.050419299355123570e-04 6.308854963859203968e-01 1.142044278513726363e-01 1.326059391905855867e+00 3.642428414194760489e+00 1.709080384612532644e+00 4.583265612563987013e+00 9.337545098518821307e-01 -3.888234595001953494e+03 0.000000000000000000e+00
6.675251148103636400e-02 2.647203598094524657e-01 6.689149061595598411e-01 -1.536747945119871783e+00 1.240756182656332363e-01 3.490123713664353922e+00 7.585228718285113025e-01 1.348679089199005476e+00 1.073732431798133824e+00 -3.888232807830107049e+03 0.000000000000000000e+00
2.212039368471553358e-01 1.752149705645394961e-01 6.032203355246833487e-01 -3.920035562226720227e-01 1.117775236006690598e+00 3.695186714101208914e+00 1.343239724795853629e+00 1.713775935606930645e+00 8.910093698209646806e-01 -3.888214862356405320e+03 0.000000000000000000e+00
3.492630175676267879e-01 6.216604182360102593e-02 5.879025178153531872e-01 -7.647704129433798015e-02 3.589914219997221156e+00 3.629911794592145746e+00 1.530847943033705194e+00 6.601480392984473422e-01 9.498956535329097228e-01 -3.888137929241014263e+03 0.000000000000000000e+00
3.157280759545098014e-01 5.373400081652746074e-01 1.460592690547868333e-01 -1.592168616360605249e-01 3.371308363986941892e+00 4.179168324675386792e+00 1.456078105155345304e+00 9.037283511695530791e-01 7.883863521622109793e-01 -3.888127686489345251e+03 0.000000000000000000e+00
2.242782073873530457e-01 1.636587825141006258e-01 6.129106184893606812e-01 -9.260065426372178221e-01 2.149632782729394620e+00 3.626254400827800595e+00 1.018061033759573242e+00 1.260532885487134047e+00 9.399434651095573967e-01 -3.888121053147426665e+03 0.000000000000000000e+00
2.675713471520033693e-01 7.050887704335660755e-02 6.618923724654460772e-01 -2.395371274900739422e-01 1.524891565810908789e+00 3.524714382368998589e+00 1.308349002392065197e+00 1.691229414028412537e+00 1.019791055825448600e+00 -3.888097472184281287e+03 0.000000000000000000e+00
2.255988915809215845e-01 1.061461458428590993e-01 6.674652660460466125e-01 -4.280665078364845888e-01 1.281972348982479915e+00 3.586116803042857626e+00 1.196693914060627417e+00 1.507401531379702897e+00 9.839722126867113117e-01 -3.888094474604080460e+03 0.000000000000000000e+00
2.545537780559662955e-01 2.957703023709434276e-01 4.501121130324345909e-01 -9.222428922785415040e-01 2.628055797284670980e+00 3.759820672121024554e+00 1.196447019491268193e+00 1.384891210886542101e+00 8.917208902109703406e-01 -3.888083613575194249e+03 0.000000000000000000e+00
2.753930778218031672e-01 5.867574667679162359e-02 6.661379688145679934e-01 -4.372527798430578816e-01 3.438897620667789035e-01 3.547401933206351998e+00 1.366362127019227657e+00 1.891934791593290033e+00 1.020071289955452265e+00 -3.888069129901013184e+03 0.000000000000000000e+00
1.593696490319770898e-01 3.703336829252953377e-01 4.705818894675726227e-01 -1.192973950441634789e+00 2.263859322914398398e+00 3.701524221550223981e+00 1.150513814783114652e+00 1.792823294359946695e+00 8.191854553536416228e-01 -3.888059979382059737e+03 0.000000000000000000e+00
1.453057384393310336e-01 2.579446500966281475e-01 5.960133803268365948e-01 -8.293226035054261924e-01 1.315979770657778269e+00 3.660101051266397398e+00 1.365715668834415863e+00 1.850360568969143360e+00 9.037904893825066122e-01 -3.888046652211555738e+03 0.000000000000000000e+00
2.908198613226403162e-01 2.265697029560298503e-01 4.825186885565861949e-01 -2.617844659924424278e-01 2.737543612970569473e+00 3.727762387220737939e+00 1.506876958839390435e+00 1.110333256071887487e+00 9.221440696698522954e-01 -3.888021604904338801e+03 0.000000000000000000e+00
