# w_1 w_2 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
3.513689804145772588e-01 6.486310195854227967e-01 -2.960210859845736064e-01 3.548191347450780686e+00 1.906305226962467625e+00 1.414123628568822788e+00 -4.560522248299798775e+03 0.000000000000000000e+00
3.028865579276981967e-01 6.971134420723018588e-01 -2.041398764150790246e-01 3.550921608760384984e+00 1.837516613246606534e+00 1.510783907024661810e+00 -4.560502413914859972e+03 0.000000000000000000e+00
6.026068715375373364e-01 3.973931284624627747e-01 3.637689257078267069e+00 2.380380526545473330e-01 1.338196089132141609e+00 2.432430563586410521e+00 -4.560456613758767162e+03 0.000000000000000000e+00
3.371290159756714644e-01 6.628709840243286466e-01 8.370920930139241767e-02 3.603235869379819434e+00 2.346118343112271187e+00 1.426941820771883584e+00 -4.560450890430271102e+03 0.000000000000000000e+00
3.031740998680110266e-01 6.968259001319889734e-01 -2.705200696162424201e-01 3.514078869357259549e+00 1.706871464102527103e+00 1.384977116359686455e+00 -4.560448747467172325e+03 0.000000000000000000e+00
6.474331333663623234e-01 3.525668666336377877e-01 3.490987293178768880e+00 -1.142526638780059778e-01 1.375522241582476379e+00 2.138902229504077823e+00 -4.560432013228013602e+03 0.000000000000000000e+00
7.332133444657059629e-01 2.667866555342940926e-01 3.382330115267323301e+00 -4.849542272832368384e-01 1.484457037736679474e+00 1.724487668735936508e+00 -4.560427312953581350e+03 0.000000000000000000e+00
7.009365814821904017e-01 2.990634185178095983e-01 3.593992870709689758e+00 -2.428152081263015849e-02 1.382619154753019997e+00 1.960806050932904165e+00 -4.560407904078920183e+03 0.000000000000000000e+00
7.132639791829844533e-01 2.867360208170154912e-01 3.516570885517748657e+00 -1.831990753181240439e-01 1.496513817513784872e+00 1.834788049095829265e+00 -4.560392033986667229e+03 0.000000000000000000e+00
3.556765219542082912e-01 6.443234780457915978e-01 2.218301217115460633e-01 3.578689946575323688e+00 2.181915322430135529e+00 1.321297728179849917e+00 -4.560388787602342745e+03 0.000000000000000000e+00
6.584145328215060822e-01 3.415854671784939178e-01 3.515587985583634723e+00 5.971940566519862159e-02 1.434927862833867085e+00 2.218872265176548897e+00 -4.560378373675513103e+03 0.000000000000000000e+00
6.208983828593407361e-01 3.791016171406592083e-01 3.589400912122556075e+00 1.161686645338335377e-01 1.399407603203661976e+00 2.260121677209253388e+00 -4.560371516913621235e+03 0.000000000000000000e+00
6.380601158959495756e-01 3.619398841040504244e-01 3.574618809747412307e+00 1.855962633092133884e-01 1.333819645710751400e+00 2.436687350104262073e+00 -4.560341869673105975e+03 0.000000000000000000e+00
3.641129315843162906e-01 6.358870684156837649e-01 1.555762902897352973e-01 3.713972848996884846e+00 2.242370634498705773e+00 1.317963302478466714e+00 -4.560328371966292252e+03 0.000000000000000000e+00
3.180726963076300207e-01 6.819273036923699793e-01 -3.769800503365899891e-01 3.427297218216781349e+00 1.906481164222802116e+00 1.413725378487030948e+00 -4.560320042607807409e+03 0.000000000000000000e+00
6.268261162661452612e-01 3.731738837338546833e-01 3.686189065225446093e+00 2.640937346084267778e-01 1.357160837130955366e+00 2.341416659044678994e+00 -4.560319850824962487e+03 0.000000000000000000e+00
3.024318764684508221e-01 6.975681235315490669e-01 -2.703461007049627884e-01 3.488112291501781481e+00 2.035012435305550760e+00 1.541106971907552969e+00 -4.560294768161399588e+03 0.000000000000000000e+00
6.134505936497918199e-01 3.865494063502081246e-01 3.653374315858231469e+00 1.193430285236052324e-01 1.260260715207021986e+00 2.353476610065970309e+00 -4.560285899603333746e+03 0.000000000000000000e+00
3.315701902921219801e-01 6.684298097078781309e-01 -1.338834774717657938e-01 3.576566787818652227e+00 1.821386334264257778e+00 1.336830799139482329e+00 -4.560271054986504168e+03 0.000000000000000000e+00
2.923223148181334219e-01 7.076776851818665781e-01 -2.358279080081216450e-01 3.625603961262054753e+00 1.983391869984741263e+00 1.386859035485347391e+00 -4.560256652753325397e+03 0.000000000000000000e+00
6.848137044751456681e-01 3.151862955248543319e-01 3.434789570377510426e+00 -2.344002285199780211e-01 1.476601116246433421e+00 2.056129731075680311e+00 -4.560254344746592324e+03 0.000000000000000000e+00
3.500271614996740555e-01 6.499728385003260556e-01 -2.295912594950484387e-01 3.605870654966352618e+00 2.038657447385323174e+00 1.440313317302702734e+00 -4.560253272702917457e+03 0.000000000000000000e+00
6.484158835440547719e-01 3.515841164559452281e-01 3.555147475357114839e+00 -2.273278635384772678e-03 1.384689881014092627e+00 1.943155741794161395e+00 -4.560242875648397785e+03 0.000000000000000000e+00
7.018042917872070463e-01 2.981957082127928982e-01 3.558431918714795472e+00 -4.789801091141326350e-01 1.421878253878449572e+00 1.974664912604041422e+00 -4.560230688713011659e+03 0.000000000000000000e+00
7.280844333992657624e-01 2.719155666007344041e-01 3.437170249551323220e+00 -6.094969360710728035e-01 1.542942372866759726e+00 1.671861426118056215e+00 -4.560218031561877979e+03 0.000000000000000000e+00
6.533653866098072527e-01 3.466346133901928583e-01 3.599441583082798157e+00 -2.796662284794936837e-01 1.430308768311802980e+00 1.965656220283524380e+00 -4.560212015044618965e+03 0.000000000000000000e+00
2.886000525028341590e-01 7.113999474971658410e-01 -1.902224983424393445e-01 3.438064829432075697e+00 1.870237376100648108e+00 1.445814344998574974e+00 -4.560202840238811405e+03 0.000000000000000000e+00
6.668486400472435349e-01 3.331513599527564096e-01 3.485918999386723449e+00 -2.935115151395634725e-01 1.497338491467366195e+00 1.911041243187714844e+00 -4.560197659409690459e+03 0.000000000000000000e+00
2.598151966821868331e-01 7.401848033178131114e-01 -4.094527619822348474e-01 3.498029176851159772e+00 1.752065298769823531e+00 1.437633026722670238e+00 -4.560136173193291143e+03 0.000000000000000000e+00
6.184475204032564566e-01 3.815524795967435989e-01 3.691724023432733315e+00 1.086881619905136209e-01 1.268224291531325543e+00 2.219334784000497773e+00 -4.560135242622229271e+03 0.000000000000000000e+00
3.100657224473969964e-01 6.899342775526030591e-01 4.428577706752469950e-02 3.544222202999115723e+00 2.172210737391623514e+00 1.349068238193710911e+00 -4.560120733411469701e+03 0.000000000000000000e+00
6.989754032010924156e-01 3.010245967989076399e-01 3.558181138535220001e+00 -1.947217364956061458e-01 1.316187198432055672e+00 1.852792665295253771e+00 -4.560109869955766044e+03 0.000000000000000000e+00
2.805090571680401434e-01 7.194909428319598010e-01 -5.115043648782219288e-01 3.398385057038868506e+00 1.663493441972691889e+00 1.479680481138755388e+00 -4.560102234410605888e+03 0.000000000000000000e+00
3.152575908351811229e-01 6.847424091648189881e-01 -2.761242203579619137e-01 3.418556939675441608e+00 1.872306588353319201e+00 1.456369160600339940e+00 -4.560095932837248256e+03 0.000000000000000000e+00
2.924563024930129651e-01 7.075436975069870904e-01 -1.313649142606066189e-01 3.528563822287007046e+00 1.888631192231079003e+00 1.345480778055435644e+00 -4.560039837627092311e+03 0.000000000000000000e+00
3.661315591402710123e-01 6.338684408597289321e-01 1.937876767927463051e-01 3.644701391857045003e+00 2.304190399723507365e+00 1.245580646071270170e+00 -4.560034010675096397e+03 0.000000000000000000e+00
2.930127609918713461e-01 7.069872390081286539e-01 -3.685969852328825902e-01 3.496244716594512525e+00 1.732926464989661186e+00 1.543652744899559837e+00 -4.560033044844127289e+03 0.000000000000000000e+00
6.441850000830671163e-01 3.558149999169328281e-01 3.630269879646058406e+00 1.946255143873995563e-02 1.386032665693006871e+00 2.397608646590421611e+00 -4.560033021978520992e+03 0.000000000000000000e+00
6.931355424509305641e-01 3.068644575490694359e-01 3.513823908677132124e+00 -5.407990667501139104e-01 1.451489640403883952e+00 1.857895906857899071e+00 -4.560004599665202477e+03 0.000000000000000000e+00
6.289942094964989794e-01 3.710057905035010206e-01 3.590344144244758340e+00 -1.732904385840845773e-03 1.418387663521842645e+00 2.148966303498758279e+00 -4.560002839927101377e+03 0.000000000000000000e+00
2.875532876562208462e-01 7.124467123437790983e-01 -2.690339970379221346e-01 3.420744107919737598e+00 1.904584888042121005e+00 1.514968417530630385e+00 -4.559993853167633461e+03 0.000000000000000000e+00
3.553940063061268861e-01 6.446059936938731694e-01 -2.582585022523716800e-01 3.543159771095656385e+00 2.031159109367556947e+00 1.420001105720393619e+00 -4.559989849859766764e+03 0.000000000000000000e+00
6.774317676524088672e-01 3.225682323475911883e-01 3.517153556452205621e+00 -2.731442306871998960e-01 1.476348844656638404e+00 2.175979235195768524e+00 -4.559970767026814428e+03 0.000000000000000000e+00
6.419329871485029981e-01 3.580670128514969464e-01 3.523925715026921868e+00 5.591542627382313502e-02 1.401057080662814203e+00 2.238725380317202251e+00 -4.559963579325742103e+03 0.000000000000000000e+00
3.126906324429610806e-01 6.873093675570389749e-01 -2.071810462177663403e-01 3.471099200544010888e+00 2.091686110922270192e+00 1.507710550700370078e+00 -4.559963509576549768e+03 0.000000000000000000e+00
6.745264000002070270e-01 3.254735999997929174e-01 3.475089148007764361e+00 -4.187318954847490393e-01 1.472472632452096475e+00 1.799794190367087765e+00 -4.559957255600855206e+03 0.000000000000000000e+00
3.264810615105580016e-01 6.735189384894419984e-01 -7.344512998762503520e-02 3.672376619633116235e+00 2.058020271450217820e+00 1.393214671202046562e+00 -4.559950841305493668e+03 0.000000000000000000e+00
3.613512241818118698e-01 6.386487758181881302e-01 -9.716011491420183110e-02 3.660728915895028912e+00 2.248642134207921917e+00 1.355093705805303639e+00 -4.559944059718032804e+03 0.000000000000000000e+00
6.498138825557684406e-01 3.501861174442316704e-01 3.688808290777380705e+00 -6.046062334765123225e-02 1.305707261476957592e+00 2.131251483825946202e+00 -4.559939133462441532e+03 0.000000000000000000e+00
3.383074223144909576e-01 6.616925776855090424e-01 -2.669933255321946808e-01 3.619986241992396270e+00 2.113498183979575451e+00 1.420192570035473389e+00 -4.559926593105069514e+03 0.000000000000000000e+00
6.826054463189896726e-01 3.173945536810103829e-01 3.477028132226108070e+00 -1.699955711959727500e-01 1.513196172711515075e+00 2.005569925240526352e+00 -4.559920100586934495e+03 0.000000000000000000e+00
7.212017658437073209e-01 2.787982341562926791e-01 3.421715950459009559e+00 -5.193078183827879446e-01 1.436270822505783418e+00 1.850697242065405979e+00 -4.559903967390385333e+03 0.000000000000000000e+00
3.450683075890973450e-01 6.549316924109027660e-01 -3.633905491832506440e-02 3.576668612144890069e+00 2.300049210877219252e+00 1.447053211827468377e+00 -4.559890693870444011e+03 0.000000000000000000e+00
3.785057312587551404e-01 6.214942687412449152e-01 3.054720899115183352e-02 3.568165752481482045e+00 2.156074733557738377e+00 1.329435980344573887e+00 -4.559879883714022071e+03 0.000000000000000000e+00
7.362042470004609429e-01 2.637957529995391681e-01 3.426536972754825605e+00 -4.942329860760292792e-01 1.563633788338269603e+00 1.704954424025031612e+00 -4.559868610557330612e+03 0.000000000000000000e+00
7.384379192506428380e-01 2.615620807493572175e-01 3.493543670880320473e+00 -3.453058272487402047e-01 1.429193667634491405e+00 1.859071459077426880e+00 -4.559853326815105902e+03 0.000000000000000000e+00
7.007825951036471546e-01 2.992174048963529009e-01 3.567324295781297394e+00 -1.039228445599685996e-02 1.358855026129470733e+00 2.124916612519608616e+00 -4.559822304868886931e+03 0.000000000000000000e+00
3.778760950258316931e-01 6.221239049741683624e-01 -5.921891462347312479e-02 3.599664492878742017e+00 2.188182160813618715e+00 1.309569994743200683e+00 -4.559821777083271627e+03 0.000000000000000000e+00
3.652756109617463776e-01 6.347243890382536780e-01 6.156324232148589065e-02 3.698723106618778900e+00 2.148587393697621639e+00 1.296260732505981395e+00 -4.559816593515923159e+03 0.000000000000000000e+00
6.445068789104959617e-01 3.554931210895040938e-01 3.619494594685534583e+00 2.362307552401902988e-01 1.280880867930816347e+00 2.342706144832356951e+00 -4.559810387899564375e+03 0.000000000000000000e+00
6.916869198337475266e-01 3.083130801662523623e-01 3.588221837496137656e+00 -3.543452708762616088e-01 1.414758838412068398e+00 1.763055139347568634e+00 -4.559789439113534172e+03 0.000000000000000000e+00
6.280639549740028027e-01 3.719360450259973083e-01 3.707002947090291656e+00 1.933134073537510211e-01 1.301886020444866121e+00 2.348347516030504956e+00 -4.559787566049395537e+03 0.000000000000000000e+00
