# w_1 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
3.588348001941729648e-01 1.473378513809986586e-02 3.602625726283169794e+00 1.483883506745893976e+00 8.780504523897667557e-01 -3.883236440326403226e+03 0.000000000000000000e+00
2.894513750398970964e-01 -4.221105345727693692e-01 3.539950770332908725e+00 1.147858982509947001e+00 9.624155663442065523e-01 -3.883227786541382557e+03 0.000000000000000000e+00
3.256292128908061523e-01 -2.604737275360784476e-01 3.489064547928313331e+00 1.195047531470702529e+00 9.882070102195698036e-01 -3.883211514359401463e+03 0.000000000000000000e+00
2.622460800285612015e-01 -5.734544190329646796e-01 3.395221712174605333e+00 1.216833741209222053e+00 1.068594397032104348e+00 -3.883208320029738388e+03 0.000000000000000000e+00
3.828815004154062507e-01 1.911745007558902920e-01 3.672460229596597348e+00 1.687864216375926318e+00 9.135715449791865783e-01 -3.883197403215711347e+03 0.000000000000000000e+00
2.571360813310230586e-01 -4.101546726943243737e-01 3.480892608289896106e+00 1.291814850189534347e+00 9.853648971059502104e-01 -3.883190047098302330e+03 0.000000000000000000e+00
3.503287263275601249e-01 -1.474052632110106620e-01 3.512876218079058255e+00 1.460207680138289055e+00 9.624936464482490850e-01 -3.883146529711593757e+03 0.000000000000000000e+00
3.133334940252981426e-01 9.761238880464948031e-02 3.594353856372990652e+00 1.377972118129274337e+00 9.801465830517079869e-01 -3.883144476644269616e+03 0.000000000000000000e+00
2.873239394623164911e-01 -4.479841865740710194e-01 3.429192450976221274e+00 1.212507195510469371e+00 9.756730356792883141e-01 -3.883100682760019026e+03 0.000000000000000000e+00
2.602257704358629797e-01 -4.209860383635335435e-01 3.390183164483442813e+00 1.238777610197536516e+00 1.045728593775031801e+00 -3.883085092240700760e+03 0.000000000000000000e+00
3.464712565259902566e-01 1.421128569049127655e-01 3.564295412136035512e+00 1.472392557148476167e+00 9.911594860316825795e-01 -3.883050401990877617e+03 0.000000000000000000e+00
2.615329010675456756e-01 -2.923889028552105751e-01 3.543264367520237990e+00 1.354022815567461624e+00 1.003423980783986424e+00 -3.883047957010107893e+03 0.000000000000000000e+00
2.704703495429999216e-01 -2.391091150298380319e-01 3.556673664367406840e+00 1.410298111710259761e+00 1.010310750956661341e+00 -3.883035839528627548e+03 0.000000000000000000e+00
3.579056847031905630e-01 2.306657185026345092e-01 3.690970516662916978e+00 1.487362849713463442e+00 9.198809858009168172e-01 -3.883013998970383909e+03 0.000000000000000000e+00
3.115702053418780149e-01 -1.199699421570662658e-02 3.504786581347581809e+00 1.385225528266347039e+00 1.028559832682456321e+00 -3.882989394975837058e+03 0.000000000000000000e+00
2.727719534345505181e-01 -5.074088140433138383e-01 3.495527553311036151e+00 1.333007205891694635e+00 1.054214611790098122e+00 -3.882951460249465526e+03 0.000000000000000000e+00
2.666221678298829056e-01 -4.036809105460262836e-01 3.432698788165608139e+00 1.194837249679725488e+00 9.807743283694987380e-01 -3.882947613155373801e+03 0.000000000000000000e+00
3.228785614181968189e-01 -2.378060695246527745e-01 3.652927688267361805e+00 1.322742195232578855e+00 9.845553265826958445e-01 -3.882919191325198881e+03 0.000000000000000000e+00
3.416101618501903303e-01 1.073842311036585229e-01 3.536393201633134531e+00 1.463254491969495197e+00 9.279286450037224077e-01 -3.882883799186818578e+03 0.000000000000000000e+00
2.752567056865557471e-01 -5.136074109795494280e-01 3.541134380718139241e+00 1.254610414292074427e+00 9.876487836054158587e-01 -3.882877008188720538e+03 0.000000000000000000e+00
3.107764503506406650e-01 -3.774064916438056305e-01 3.511789519578788710e+00 1.165076099417542643e+00 1.048469318353781210e+00 -3.882875911300311145e+03 0.000000000000000000e+00
3.095256251940170511e-01 -1.789400484692695581e-01 3.591874265435277103e+00 1.472688533545320810e+00 1.039013790738065879e+00 -3.882870456136795838e+03 0.000000000000000000e+00
3.582179251045187196e-01 8.927636371600533582e-02 3.606279404233494468e+00 1.652286508146526334e+00 9.743711443682859796e-01 -3.882833834120780921e+03 0.000000000000000000e+00
3.011876095098421358e-01 -3.166157986806621971e-01 3.460052091042688627e+00 1.313758427445814281e+00 1.082921834026233210e+00 -3.882822230886614761e+03 0.000000000000000000e+00
3.486537551949333569e-01 9.161383003099890510e-02 3.537958047933476458e+00 1.590002409467474731e+00 9.548953130912232190e-01 -3.882815444081160422e+03 0.000000000000000000e+00
3.172180699682674576e-01 -2.254897707082288705e-01 3.503079421047132325e+00 1.527782518296481928e+00 9.928677222158897031e-01 -3.882804388301558902e+03 0.000000000000000000e+00
3.404382972406128638e-01 -1.305669606496780849e-02 3.594691811900951883e+00 1.335748568856543805e+00 8.946768937672344713e-01 -3.882794911433284142e+03 0.000000000000000000e+00
2.738350077564057905e-01 -4.379080491328128932e-01 3.557706209751648974e+00 1.345470297603553522e+00 9.989399889719356995e-01 -3.882782351902432310e+03 0.000000000000000000e+00
3.475323041221195508e-01 -3.350576157107619524e-02 3.637292804301600846e+00 1.446949089778793773e+00 1.006765086912918550e+00 -3.882774920194654896e+03 0.000000000000000000e+00
2.936940111573110301e-01 -4.882330525430403911e-01 3.527785973078150228e+00 1.131301371800847333e+00 1.024752760988621558e+00 -3.882771743546648395e+03 0.000000000000000000e+00
3.360136566554423054e-01 -2.362174808431688477e-01 3.592069487815176210e+00 1.388506210821656151e+00 9.032762754950387496e-01 -3.882765832871346902e+03 0.000000000000000000e+00
3.486868920314356579e-01 8.158095623518821227e-02 3.668039534973469351e+00 1.374055262611946437e+00 9.319432984975816181e-01 -3.882754395782165375e+03 0.000000000000000000e+00
3.401852280808704831e-01 2.080828640239296146e-02 3.582855007946549541e+00 1.420864852332636152e+00 8.830302835128716055e-01 -3.882753959460576880e+03 0.000000000000000000e+00
3.393164622936056807e-01 -2.328814711019610018e-01 3.570785282627354285e+00 1.517456933426721166e+00 9.434813993800178489e-01 -3.882746641529803128e+03 0.000000000000000000e+00
2.660184494757237839e-01 -4.712542576419290197e-01 3.506515105079028416e+00 1.343275415173970755e+00 1.029397027733743641e+00 -3.882734930487072688e+03 0.000000000000000000e+00
3.651038836061923365e-01 2.432449421621013241e-01 3.636662137444351739e+00 1.486324901187037861e+00 9.374685687725081706e-01 -3.882729730601871779e+03 0.000000000000000000e+00
2.574944927379812509e-01 -5.022449956043025798e-01 3.397011244335069513e+00 1.118528858456383057e+00 1.043322227484882347e+00 -3.882725592014974154e+03 0.000000000000000000e+00
3.508774616228425014e-01 1.556046020591755341e-01 3.548632564693174452e+00 1.561679544683941989e+00 9.652476757239744076e-01 -3.882713249501709925e+03 0.000000000000000000e+00
3.108526135178018013e-01 -4.266893681263467797e-01 3.499098170035098931e+00 1.354132003638324422e+00 1.048659751338365087e+00 -3.882705970644224180e+03 0.000000000000000000e+00
3.248684311254115276e-01 -7.718417591443664516e-02 3.675001870004738880e+00 1.397590962245089941e+00 9.816984630505837250e-01 -3.882626766053188931e+03 0.000000000000000000e+00
3.288266503862354861e-01 2.167260979152497297e-02 3.533734828496129854e+00 1.554306741499744904e+00 1.009819247737399728e+00 -3.882618947296595707e+03 0.000000000000000000e+00
2.782770530983577073e-01 -1.567044077542551761e-01 3.454946191244110842e+00 1.331889067637794799e+00 1.014511165525928016e+00 -3.882617756365027617e+03 0.000000000000000000e+00
3.320258262319210063e-01 -3.602587663233450810e-01 3.498040235982443402e+00 1.281042408675832966e+00 9.852327316359333897e-01 -3.882607519525271528e+03 0.000000000000000000e+00
3.537407070147208232e-01 -1.725810564434047123e-01 3.550171566513512733e+00 1.332734882791055453e+00 9.691579047828141613e-01 -3.882576282709583211e+03 0.000000000000000000e+00
2.827937236253620923e-01 -5.582866605361919143e-01 3.429184346927340865e+00 1.235554239562083989e+00 1.019266412711187453e+00 -3.882559750379394245e+03 0.000000000000000000e+00
3.281630982115206208e-01 -1.889017303745788023e-02 3.675245244307738357e+00 1.557892049227396214e+00 9.351838914258455704e-01 -3.882559016621110459e+03 0.000000000000000000e+00
2.572046085792351056e-01 -5.040982202965865744e-01 3.471616861150494948e+00 1.180016138108504808e+00 1.095153145004777118e+00 -3.882556080056747760e+03 0.000000000000000000e+00
3.014098076069751664e-01 -1.766957836038796359e-01 3.468523507568701980e+00 1.429980073183612976e+00 9.594969880902886050e-01 -3.882514408904423362e+03 0.000000000000000000e+00
3.275026023941433606e-01 -4.032541848653755645e-01 3.545141281905632713e+00 1.270477714394113056e+00 9.992584688772135904e-01 -3.882503305900472242e+03 0.000000000000000000e+00
2.880895217562786104e-01 -1.802326663374864413e-01 3.485793559727921931e+00 1.355837616585093386e+00 1.066885654691417162e+00 -3.882494343466410101e+03 0.000000000000000000e+00
3.723682899315876593e-01 1.006335718073862739e-01 3.668514070287643314e+00 1.609693197948784071e+00 9.487369500794143873e-01 -3.882492667177852127e+03 0.000000000000000000e+00
3.177689736533247378e-01 -2.099231442553255444e-01 3.627505308110766880e+00 1.422861802205631188e+00 1.020760864771794063e+00 -3.882486953423682280e+03 0.000000000000000000e+00
2.690207083146898825e-01 -3.198454843491954080e-01 3.523771861581084242e+00 1.133648914155561238e+00 1.018386495539384429e+00 -3.882485670647942698e+03 0.000000000000000000e+00
3.724322515480491536e-01 9.178653130472730348e-02 3.577729512885212237e+00 1.552914222077401263e+00 9.357641566322565385e-01 -3.882480985506782417e+03 0.000000000000000000e+00
3.096267004342977969e-01 -3.196944151024552760e-01 3.608313434151638077e+00 1.303082458205205629e+00 9.268734047724282998e-01 -3.882442048725956738e+03 0.000000000000000000e+00
3.248839702920653383e-01 -1.364263722523798572e-01 3.614776814305823205e+00 1.343318152923346664e+00 8.900334087429638830e-01 -3.882419726930882462e+03 0.000000000000000000e+00
2.978970513543634513e-01 -1.492518894522602557e-01 3.443731739122996238e+00 1.341907208858009071e+00 1.026502771911666168e+00 -3.882411474405224908e+03 0.000000000000000000e+00
2.838283791215474583e-01 -5.626091145063235599e-01 3.502610838260471926e+00 1.271831087552392603e+00 1.028315282451340851e+00 -3.882407209422799042e+03 0.000000000000000000e+00
2.925158529172328103e-01 -2.547824792896489221e-01 3.507948807327649465e+00 1.364633886540258523e+00 9.263693811809188272e-01 -3.882374920491442936e+03 0.000000000000000000e+00
2.996722536324554764e-01 -2.765468585488531361e-01 3.421069061792711086e+00 1.263626918463335080e+00 9.944478231024457271e-01 -3.882338796998109501e+03 0.000000000000000000e+00
3.577705992343356289e-01 1.863081599066385152e-01 3.677643684120319723e+00 1.572930351245698022e+00 9.618805604747635574e-01 -3.882338727337941236e+03 0.000000000000000000e+00
3.436654555675249245e-01 -8.717161572027512517e-02 3.527264599940494794e+00 1.413775907424755118e+00 1.017197403687145396e+00 -3.882329119313455976e+03 0.000000000000000000e+00
3.591059505660426643e-01 7.608746175878933204e-02 3.638585617023435859e+00 1.386985263279411296e+00 9.498667859913884071e-01 -3.882328712423170145e+03 0.000000000000000000e+00
2.975561572482378070e-01 -4.862945411666930728e-01 3.506891685668421577e+00 1.349142507155585369e+00 9.875867750033437975e-01 -3.882310601739721278e+03 0.000000000000000000e+00
3.413469424546299313e-01 1.037946911264438499e-01 3.655402080122236441e+00 1.638605062528154299e+00 9.125089687705595365e-01 -3.882303463008639483e+03 0.000000000000000000e+00
3.323182123017485723e-01 -1.974551816556718575e-01 3.560652395785259827e+00 1.455232321071895818e+00 1.032983309833382046e+00 -3.882296364066525712e+03 0.000000000000000000e+00
2.861871255221101196e-01 -9.880720392905137373e-02 3.616178486920643032e+00 1.342730270956745020e+00 9.748452863965223480e-01 -3.882276835376072086e+03 0.000000000000000000e+00
2.844750337223148073e-01 -4.692415359589743318e-01 3.418589234930714316e+00 1.296587981231789310e+00 1.062327021184181541e+00 -3.882257863602196721e+03 0.000000000000000000e+00
3.115296523257798933e-01 -5.075201991196161971e-02 3.594816049754227194e+00 1.368563289342704437e+00 8.941431837567440644e-01 -3.882252055417552128e+03 0.000000000000000000e+00
3.292412634256974280e-01 -1.198699882334021000e-01 3.665458587384988753e+00 1.451227605878109062e+00 9.852017587445327518e-01 -3.882242178342397892e+03 0.000000000000000000e+00
3.232460149322206600e-01 -2.316532330692155639e-01 3.526312771826501269e+00 1.427654319830656604e+00 9.194219297741954566e-01 -3.882231366789871572e+03 0.000000000000000000e+00
3.616965912014968865e-01 1.113951727252213419e-01 3.687940844466481405e+00 1.555209686371315625e+00 9.545641200227936718e-01 -3.882226032964653314e+03 0.000000000000000000e+00
3.238002930958969183e-01 -3.511471316279101140e-01 3.546777891538419603e+00 1.264735222222691524e+00 1.035931236725293969e+00 -3.882205511808961546e+03 0.000000000000000000e+00
3.343792523359209734e-01 1.197820094830617105e-01 3.628134259754072666e+00 1.643794991460711730e+00 9.515633304761954570e-01 -3.882190621153354641e+03 0.000000000000000000e+00
3.546824826466346559e-01 5.752526821824940906e-02 3.594954588655228545e+00 1.642191735448847112e+00 9.662005185322555256e-01 -3.882172906217555465e+03 0.000000000000000000e+00
3.150693286911315782e-01 -3.081304243675406229e-01 3.607250550619701901e+00 1.291440077155078692e+00 9.274388061296124919e-01 -3.882169560913072019e+03 0.000000000000000000e+00
2.670467728994475043e-01 -3.441821450163254914e-01 3.411593983895671034e+00 1.259253043609318334e+00 1.020265850886241221e+00 -3.882167643347610920e+03 0.000000000000000000e+00
2.910073270312755200e-01 -4.324230381200430684e-02 3.520944315793891111e+00 1.439435542841282167e+00 1.009714849661642155e+00 -3.882154606042654450e+03 0.000000000000000000e+00
3.045100582055510485e-01 2.406446478296620298e-02 3.618210859416925995e+00 1.512311088745758703e+00 9.740236268622453064e-01 -3.882149815574560307e+03 0.000000000000000000e+00
3.358617561688486686e-01 -3.147071972348270408e-01 3.594008690835587050e+00 1.323434059311255240e+00 9.857136821657196402e-01 -3.882141534966854124e+03 0.000000000000000000e+00
2.872357294262007921e-01 -1.322851126102611019e-01 3.544654525133688949e+00 1.480968142971234025e+00 1.011268318924742005e+00 -3.882141289904199766e+03 0.000000000000000000e+00
3.319115979397632699e-01 -2.003283014971458109e-01 3.472716876083474791e+00 1.322368992813708566e+00 9.796495947980323749e-01 -3.882131904440568178e+03 0.000000000000000000e+00
3.381290177045391254e-01 2.571388198984198709e-02 3.511423794812533750e+00 1.456932041740277572e+00 9.879448328913729149e-01 -3.882124006017383635e+03 0.000000000000000000e+00
3.146535317308310487e-01 -2.096014198901777481e-01 3.558186840403053441e+00 1.291880729289284213e+00 9.042528588416349766e-01 -3.882117274260388513e+03 0.000000000000000000e+00
2.902441215727523116e-01 -1.858976473814802632e-01 3.612945279733361215e+00 1.301948125761123398e+00 1.020312693028593731e+00 -3.882116999591125023e+03 0.000000000000000000e+00
2.899766003879165610e-01 -4.174363307681351332e-01 3.419124410917548484e+00 1.293969818349296474e+00 1.066980209231059629e+00 -3.882112826441796642e+03 0.000000000000000000e+00
3.172800490492675984e-01 9.117562296061436367e-02 3.655712984420111056e+00 1.481259416547956009e+00 9.235624184235305956e-01 -3.882112116812821114e+03 0.000000000000000000e+00
2.990040054361907673e-01 -2.247372495039511031e-01 3.500522332174854867e+00 1.180576848426786896e+00 1.038787760884626987e+00 -3.882094351561243002e+03 0.000000000000000000e+00
3.169597549408129655e-01 -1.631228788707850264e-01 3.519532214894505628e+00 1.516586765807637072e+00 1.024771641440629821e+00 -3.882089510315616280e+03 0.000000000000000000e+00
3.291449761602335822e-01 1.785314155411632520e-02 3.576938820257268503e+00 1.509103038266220054e+00 1.022963627831888767e+00 -3.882060943339445657e+03 0.000000000000000000e+00
3.093682033450907976e-01 -3.473135682581613426e-01 3.428078747859834241e+00 1.286331730858878419e+00 1.006855305920330013e+00 -3.882026155421225212e+03 0.000000000000000000e+00
2.728455326049258889e-01 -4.190351413259588709e-01 3.559183768643624735e+00 1.210690769532799749e+00 9.756724616653630333e-01 -3.882025237927283797e+03 0.000000000000000000e+00
3.537100938727857358e-01 -1.668443805466764129e-01 3.627812973164101340e+00 1.466821079392076177e+00 9.585162689235542377e-01 -3.882021534585370318e+03 0.000000000000000000e+00
3.545997481070752300e-01 -1.032795688686607982e-01 3.566199490926905025e+00 1.519685758680717091e+00 9.276096253784904544e-01 -3.882017989365434005e+03 0.000000000000000000e+00
3.670457476765315308e-01 -8.363287286463658848e-03 3.669462088391213239e+00 1.501908677832467287e+00 9.104660172050043077e-01 -3.882011539329642801e+03 0.000000000000000000e+00
2.654234257652586249e-01 -5.642888932770214749e-01 3.415525016487070520e+00 1.150754254405091714e+00 1.031671543533554170e+00 -3.882010180726175349e+03 0.000000000000000000e+00
2.808253349435986257e-01 -3.613742588615892481e-01 3.593576765774445736e+00 1.313049419335611034e+00 1.020309239328640372e+00 -3.881997381866327487e+03 0.000000000000000000e+00
3.309944335772594948e-01 -2.343671115277141670e-01 3.569328374187765718e+00 1.238740376615397487e+00 9.369395750482988339e-01 -3.881994209562895776e+03 0.000000000000000000e+00
3.119009150774548766e-01 -3.312109945967935953e-01 3.612178522368922895e+00 1.245656749673543118e+00 9.637753292348493206e-01 -3.881988429227076267e+03 0.000000000000000000e+00
3.605282257607391183e-01 2.120960039919529416e-01 3.626006390472217067e+00 1.679587396775219510e+00 9.215098552684897193e-01 -3.881986921431420797e+03 0.000000000000000000e+00
2.634313318550190464e-01 -2.939126990045895504e-01 3.492135122235106692e+00 1.222127212007162012e+00 1.063913147255210800e+00 -3.881985969530532202e+03 0.000000000000000000e+00
3.365498300515235575e-01 -1.381972612135596579e-01 3.525152722046066334e+00 1.537523325073751446e+00 9.610781367164451527e-01 -3.881984709328874033e+03 0.000000000000000000e+00
3.181060486749707761e-01 -2.165903753562289646e-01 3.542286737597982516e+00 1.542174876117913040e+00 9.918169738707404148e-01 -3.881977128686815377e+03 0.000000000000000000e+00
3.632888400542702567e-01 4.701953312251027153e-03 3.623535527482329321e+00 1.576731743356596160e+00 9.691746921441632967e-01 -3.881975406999734332e+03 0.000000000000000000e+00
2.757696663740181187e-01 -2.045676015790300617e-01 3.473730443553448843e+00 1.320818438441704323e+00 1.054437609097717221e+00 -3.881942133177633423e+03 0.000000000000000000e+00
2.886861495060548677e-01 -2.685189322574498827e-01 3.617053087318668592e+00 1.388270450661237110e+00 9.901993164354325749e-01 -3.881936571945770993e+03 0.000000000000000000e+00
3.791985194550609450e-01 2.462417667219329864e-01 3.668980741143980318e+00 1.594794241728759498e+00 8.898160874940694853e-01 -3.881933416792559001e+03 0.000000000000000000e+00
2.686090237320610807e-01 -4.126587380190461785e-01 3.482822934524495206e+00 1.249071714263831678e+00 1.093016893246737453e+00 -3.881923778341327306e+03 0.000000000000000000e+00
2.913614311782964372e-01 -4.226849467688519879e-01 3.444297771601121827e+00 1.288691384362379733e+00 9.754436758075549774e-01 -3.881908115407083642e+03 0.000000000000000000e+00
2.952162156495460876e-01 -3.844490637030675284e-01 3.548354122173304592e+00 1.313650991692802306e+00 9.350857832837928818e-01 -3.881908105191744653e+03 0.000000000000000000e+00
2.940553079777190604e-01 -1.485564621355731085e-01 3.458635246380362460e+00 1.275388678587566993e+00 1.024353370187465195e+00 -3.881906480809772802e+03 0.000000000000000000e+00
2.912343555867225597e-01 -1.935283190587413771e-01 3.470211397081077731e+00 1.298477178800386600e+00 1.062931760248443380e+00 -3.881901042604899430e+03 0.000000000000000000e+00
